OBJECTID,CAPACITY,TYPE,NUM_RACKS,COVERED,lat,lon
3,20,Wave,1,No,35.9099,-79.052
417,16,Wave,1,No,35.9081,-79.0509
8,12,Wave,2,No,35.9122,-79.0476
419,8,Wave,2,No,35.9089,-79.0515
9,16,Wave,1,No,35.9084,-79.0512
420,16,Wave,4,Yes,35.9076,-79.0514
10,24,Wave,2,No,35.9117,-79.0534
12,22,Wave,1,No,35.9088,-79.0536
13,44,Wave,2,No,35.908,-79.0523
423,16,Wave,4,Yes,35.9078,-79.0513
425,60,Wave,1,Yes,35.909,-79.0516
19,23,Wave&Grid,2,No,35.9148,-79.0492
21,20,Wave,1,No,35.9148,-79.0478
429,8,Wave,2,Yes,35.9077,-79.0514
22,24,Wave,2,No,35.9122,-79.0472
24,8,Wave,1,No,35.9126,-79.0485
434,20,Wave,1,No,35.91,-79.0518
25,12,Wave,1,No,35.9123,-79.0483
435,32,Wave,1,No,35.9097,-79.0512
26,12,Wave,1,No,35.9117,-79.0479
27,52,Wave,4,No,35.9115,-79.0495
30,32,Wave,2,No,35.9116,-79.0491
439,4,Wave,1,No,35.9123,-79.0549
32,16,Wave,1,No,35.9117,-79.0491
444,12,Wave,1,No,35.9105,-79.0518
33,16,Wave,1,Yes,35.9126,-79.0495
34,12,Wave,2,No,35.9125,-79.0467
451,12,U-Type,6,No,35.9135,-79.0503
454,24,U-Type,12,No,35.9102,-79.0494
39,16,Wave,1,No,35.912,-79.0483
455,22,U-Type,11,Yes,35.9103,-79.0494
40,20,Wave,1,No,35.9124,-79.0478
456,12,U-Type,6,No,35.9131,-79.05
41,24,Wave,2,No,35.9127,-79.0475
43,30,Wave,3,No,35.9126,-79.0501
60,24,Wave,2,No,35.9104,-79.049
61,20,Wave,3,No,35.9102,-79.049
64,28,Wave,1,No,35.9099,-79.0497
277,20,Wave,1,No,35.911,-79.051
65,16,Wave,2,No,35.9099,-79.0504
278,4,Wave,1,No,35.911,-79.0514
66,48,Wave,2,No,35.91,-79.0505
279,16,Wave&U-Type,3,No,35.9092,-79.0528
68,16,Wave,1,No,35.9096,-79.0475
283,24,Wave,2,No,35.9105,-79.0461
285,8,Wave,2,No,35.9109,-79.0462
294,16,Wave,2,No,35.9129,-79.0468
296,16,Wave,2,No,35.9115,-79.0464
298,8,Wave,1,No,35.9106,-79.0459
299,8,Wave,1,No,35.9115,-79.0468
81,36,Wave,2,No,35.9147,-79.0495
82,12,Wave,1,No,35.9128,-79.0529
303,8,Wave,1,No,35.9121,-79.0468
83,4,Wave,1,No,35.9151,-79.0514
304,16,Wave,1,No,35.9119,-79.0464
84,24,Wave,2,No,35.9112,-79.0461
86,8,Wave,1,No,35.913,-79.0511
306,8,Wave,1,No,35.9124,-79.0464
89,44,Wave,2,No,35.9142,-79.0477
313,12,Wave,1,No,35.912,-79.0481
314,20,Wave,1,No,35.9112,-79.0489
315,8,Wave,2,No,35.9115,-79.0513
101,32,Wave,4,No,35.9099,-79.0463
316,12,Wave,1,No,35.9095,-79.0485
317,36,Wave&U-Type,18,Yes,35.9102,-79.0491
318,28,Wave&U-Type,11,Yes,35.9103,-79.0491
319,24,Wave,6,Yes,35.9105,-79.0492
321,12,Wave,1,No,35.9103,-79.0485
323,108,Wave,9,No,35.9104,-79.0481
332,2,U-type,1,No,35.912,-79.0497
333,8,Wave,1,No,35.9121,-79.0477
334,12,Wave,1,No,35.9119,-79.0476
335,20,Wave,2,No,35.9107,-79.047
128,8,Wave,1,No,35.9123,-79.0493
337,32,Wave,2,No,35.9092,-79.0478
129,12,Wave,1,No,35.9109,-79.0502
134,12,Wave,1,No,35.912,-79.0519
135,20,Wave,1,No,35.9122,-79.052
136,4,Wave,1,No,35.9114,-79.0544
354,12,Wave,1,No,35.9125,-79.0479
137,52,Wave,2,No,35.9111,-79.0529
355,8,Wave,1,No,35.9127,-79.0481
139,32,Wave&U-Type,3,No,35.911,-79.0533
359,24,Wave,1,Yes,35.9128,-79.0498
140,8,Wave,1,No,35.9107,-79.0509
361,22,Wave,2,No,35.9125,-79.054
362,2,U-type,1,No,35.9129,-79.0541
142,8,Wave,2,No,35.912,-79.0546
363,2,U-type,1,No,35.9131,-79.0542
144,8,Wave,2,No,35.9118,-79.0542
364,30,Grid,1,No,35.9139,-79.0514
146,12,Wave,1,No,35.9107,-79.0501
365,8,Wave,1,No,35.9139,-79.0517
147,16,Wave,1,No,35.9106,-79.05
367,8,Wave,1,No,35.9138,-79.0528
148,24,Wave,2,No,35.9105,-79.0499
368,8,Wave,1,No,35.9144,-79.0517
150,36,Wave,3,No,35.9102,-79.0506
369,4,Wave,1,No,35.9117,-79.0526
153,20,Wave,1,No,35.9106,-79.0508
370,8,Wave,1,No,35.9106,-79.0517
155,12,Wave,1,No,35.9112,-79.0504
371,26,Wave&U-Type,10,No,35.9104,-79.0521
156,12,Wave,1,No,35.9114,-79.0505
372,28,Wave,2,No,35.9102,-79.0531
157,38,Wave,1,No,35.9132,-79.0503
373,20,Wave,1,No,35.9099,-79.053
159,36,Wave,2,No,35.9126,-79.051
376,20,Wave,1,No,35.9123,-79.0507
163,12,Wave,1,No,35.91,-79.0473
390,16,Wave,2,No,35.913,-79.0469
392,19,Wave&Grid,2,No,35.9154,-79.0482
395,8,Wave,2,No,35.9142,-79.0502
